State,HASC,FIPS,Population,Area(km.²),Area(mi.²),Capital
Abia,NG.AB,NI45,2833999,4857,1875,Umuahia
Adamawa,NG.AD,NI35,3168101,37957,14655,Yola
Akwa Ibom,NG.AK,NI21,3920208,6788,2621,Uyo
Anambra,NG.AN,NI25,4182032,4761,1838,Awka
Bauchi,NG.BA,NI46,4676465,48197,18609,Bauchi
Bayelsa,NG.BY,NI52,1703358,9363,3615,Yenagoa
Benue,NG.BE,NI26,4219244,30755,11875,Makurdi
Borno,NG.BO,NI27,4151193,72767,28095,Maiduguri
Cross River,NG.CR,NI22,2888966,22112,8537,Calabar
Delta,NG.DE,NI36,4098391,17095,6600,Asaba
Ebonyi,NG.EB,NI53,2173501,6342,2449,Abakaliki
Edo,NG.ED,NI37,3218332,19584,7562,Benin City
Ekiti,NG.EK,NI54,2384212,5797,2238,Ado-Ekiti
Enugu,NG.EN,NI47,3257298,7560,2919,Enugu
Federal Capital Territory,NG.FC,NI11,1405201,7569,2922,Abuja
Gombe,NG.GO,NI55,2353879,17428,6729,Gombe
Imo,NG.IM,NI28,3934899,5135,1982,Owerri
Jigawa,NG.JI,NI39,4348649,23415,9041,Dutse
Kaduna,NG.KD,NI23,6066562,44217,17072,Kaduna
Kano,NG.KN,NI29,9383682,20389,7872,Kano
Katsina,NG.KT,NI24,5792578,23822,9198,Katsina
Kebbi,NG.KE,NI40,3238628,36320,14023,Birnin Kebbi
Kogi,NG.KO,NI41,3278487,29063,11221,Lokoja
Kwara,NG.KW,NI30,2371089,33792,13047,Ilorin
Lagos,NG.LA,NI05,9013534,3475,1342,Ikeja
Nasarawa,NG.NA,NI56,1863275,26633,10283,Lafia
Niger,NG.NI,NI31,3950249,72065,27824,Minna
Ogun,NG.OG,NI16,3728098,16850,6506,Abeokuta
Ondo,NG.ON,NI48,3441024,15019,5799,Akure
Osun,NG.OS,NI42,3423535,8585,3315,Oshogbo
Oyo,NG.OY,NI32,5591589,27036,10438,Ibadan
Plateau,NG.PL,NI49,3178712,26539,10247,Jos
Rivers,NG.RI,NI50,5185400,10361,4000,Port Harcourt
Sokoto,NG.SO,NI51,3696999,32146,12412,Sokoto
Taraba,NG.TA,NI43,2300736,59180,22850,Jalingo
Yobe,NG.YO,NI44,2321591,44880,17328,Damaturu
Zamfara,NG.ZA,NI57,3259846,33667,12999,Gusau
