role_id,name,description,displayname,description,language_id
,user_editor,Manages Users,User Editor,Manages Users,
,group_editor,Manages User Groups,Group Editor,Manages User Groups,
,permission_editor,Manages User Permissions,Permission Editor,Manages User Permissions,
,profile_type_editor,Edits User Profiles,Profile Type Editor,Edits User Profiles,
,app_business_manager,Manages Stores,App Business Manager,Manages Stores,
,app_branch_manager,Manages Branches and SBUs,App Branch Manager,Manages Branches and SBUs,
,app_account_manager,"Manages Branch Accounts, Inventory and Sales",App Account Manager,"Manages Branch Accounts, Inventory and Sales",
,app_inventory_manager,Manages Branch Inventories,Branch Inventory Manager,Manages Branch Inventories,
,store_editor,Manages Stores and Branches,Store Editor,Manages Stores and Branches,
,product_editor,Manages Catalog and Related Data,Product Editor,Manages Catalog and Related Data,
,sales_editor,Manages Sales,Sales Editor,Manages Sales,
,app_sales_rep,Sells Product on behalf of store,Sales Representative,Sells Product on behalf of store,
,vendor,Source of merchandise.,Vendor,Source of merchandise.,
